Date,High,Low,Open,Close,Volume,Adj Close,mov_avg for 10 days,mov_avg for 20 days,mov_avg for 30 days,Daily Return,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
2018-12-31,1052.699951171875,1023.5900268554688,1050.9599609375,1035.6099853515625,1493300,1035.6099853515625,1018.9449829101562,1040.27099609375,1043.5476643880208,-0.0014174130881066116,0.4062380212380221,0.05086957850350717,-0.9997,0.169,0.703,0.128
2019-01-02,1052.3199462890625,1015.7100219726562,1016.5700073242188,1045.8499755859375,1532600,1045.8499755859375,1021.8769775390625,1037.8419921875,1042.9189982096354,0.00988788287020892,0.4172544338078317,0.04626726114590204,-0.9997,0.171,0.715,0.114
2019-01-03,1056.97998046875,1014.0700073242188,1041.0,1016.0599975585938,1841100,1016.0599975585938,1020.6119812011718,1033.3234893798829,1041.4046651204428,-0.028483987878523354,0.3937361297706124,0.019840730789006684,-0.9998,0.179,0.726,0.095
2019-01-04,1070.8399658203125,1027.41796875,1032.5899658203125,1070.7099609375,2093900,1070.7099609375,1025.3819763183594,1034.3179901123046,1043.0949971516927,0.05378615781569995,0.385002478437593,0.05675712963880906,-0.9999,0.177,0.729,0.094
2019-01-07,1074.0,1054.760009765625,1071.5,1068.3900146484375,1981900,1068.3900146484375,1031.27998046875,1034.300991821289,1044.5159973144532,-0.0021667364400264066,0.41774073199527756,0.03613615374524468,-0.9999,0.203,0.705,0.092
2019-01-08,1084.56005859375,1060.530029296875,1076.1099853515625,1076.280029296875,1764900,1076.280029296875,1040.9539855957032,1036.2859954833984,1045.804998779297,0.007384957309839457,0.33401207010581985,0.0271238425925926,-0.9997,0.157,0.746,0.097
2019-01-09,1082.6300048828125,1066.4000244140625,1081.6500244140625,1074.6600341796875,1199300,1074.6600341796875,1050.7979919433594,1038.0414947509767,1047.497666422526,-0.0015051799467521443,0.4070501827644682,0.0582377521663236,-0.9999,0.183,0.721,0.097
2019-01-10,1071.1500244140625,1057.7099609375,1067.6600341796875,1070.3299560546875,1456400,1070.3299560546875,1053.884991455078,1038.970492553711,1048.2213317871094,-0.004029253891725149,0.35091741591741604,0.052835359085359065,-0.9998,0.172,0.73,0.098
2019-01-11,1063.7750244140625,1048.47998046875,1063.1800537109375,1057.18994140625,1520800,1057.18994140625,1055.2159851074218,1038.6459869384767,1048.6473286946614,-0.012276601784437124,0.37601940049614485,0.02310218743358275,-0.9999,0.179,0.726,0.095
2019-01-14,1051.530029296875,1041.2550048828125,1046.9200439453125,1044.68994140625,1144300,1044.68994140625,1055.976983642578,1037.785482788086,1047.2626607259115,-0.011823797702211203,0.3670550502129447,0.07236145433513862,-0.9998,0.163,0.736,0.101
